"listing_name","listing_location","listing_salary","listing_description"
"Vice President for Business and Finance","Greenville, SC 29614","","Position Summary: The Vice President for Business and Finance (VPBF) functions as a key member of the University’s administrative leadership team, providing both strategic and operational support to the University. The VPBF reports directly to the President and directly assists the Executive team, and other senior leadership on all strategic and tactical matters as they relate to financial forecasting, cost benefit analysis, and budget management.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
The VPBF contributes to a wide array of institution-wide planning consistent with the mission, core values and vision of the University.
As the University’s Chief Financial Officer, the VPBF bears chief responsibility for financial strategy and has primary operational responsibility for the business office, including those matters related to financial oversight and audit.
The VPBF provides direct management and guidance to Human Resources, Facilities, IT, Risk Management and Retail operations.
The VPBF supervises a team of 6 staff members directly, with over 120 total employees.
The VPBF serves as primary staff liaison for Board of Trustees including Finance and Audit committee and the Personnel and Plant committee.
Strategy
Support the president as part of the executive leadership team on operational and strategic issues as they arise; provide strategic recommendations to the president based on financial analysis and projections, cost identification and allocation, and revenue/expense analysis.
Participate in the ongoing strategic planning process as an integral member of the executive leadership team.
Oversee long-term budgetary planning and cost management in alignment with BJU’s strategic plan.
Engage with the other vice presidents to align financial management with short and long-term financial planning and projections.
Coordinate with the Investment Committee on the investment and oversight of retirement plan, endowment assets, and excess cash.
Financial and Operational Management
Advise the president on college business issues and the fiscal impact of policy options.
Provide financial analysis, long-range financial projections and long-term planning to assist the administration in making sound fiscal decisions.
Responsible for timely and accurate preparation, submission and administration of the University’s budget. Coordinates the budget planning process including the distribution of materials and information regarding budget preparation for all University programs and sources of funding. Oversee, administer and coordinate all expenditures within the university’s budget.
Ensure that finance staff maintains financial record systems in accordance with Generally Accepted Accounting Principles, and monitor the use of all funds.
Manage cash flow and forecasting; direct all financial, project-based, and departmental accounting.
Coordinate all audit activities.
Provide guidance for all benefits negotiations, helping to provide the most competitive packages for BJU employees.
Review all formal finance, HR, Facilities, Retail and IT-related procedures, processes, and administration, recommending improvements to the systems in place and managing the systems going forward.
Coordinate capital projects with the Director of Facilities to ensure that contracts are in compliance with all federal and state requirements.
Team Management
Develop and lead direct staff, to include Finance, HR, Facilities Retail, Risk Management and IT operations.
Engage other members of the senior management team to facilitate cross department collaboration that ensures that all financial, IT, and HR solutions positively support BJUs evolving strategy, operational delivery, and data collection needs.
Communicate the religious beliefs of BJU to students and student affiliates.
Answer questions concerning faith, doctrine and creed of BJU to constituents, students, or those inquiring about BJU.
Required Education: Bachelor's Degree Required
Required Experience: Five or more years related experience"
"Vice President, Finance and Strategy","Minnetonka, MN 55305","","With eight individual brands and more than 1,500 hotels internationally, Radisson Hotel Group Americas is one of the largest, most dynamic hotel groups in the world. Our portfolio includes Radisson Collection, Radisson Individuals, Radisson Blu, Radisson, Radisson RED, Park Plaza, Park Inn by Radisson and Country Inn & Suites by Radisson.
At the heart of Radisson Hotel Group is our brand promise, Every Moment Matters. More than our signature, it is simply how we do business and who awe are at the core. We strive to provided a meaningful employment experience with a focus on developing our team's talents because we believe our people are the center of our success. Your next opportunity starts here. Join a team of moment makers today!
Job Summary
The VP, Finance and Strategy will serve as a key leader within the Finance team and as a key financial interface between Finance and senior leadership. This position reports directly to the CFO to ensure the alignment of corporate goals and long-term financial and strategic performance. This position will be critical in elevating the Finance organization with streamlined processes and capabilities in order to enable the company strategy.
The VP, Finance and Strategy will be responsible for delivering forward looking, value-added business analysis as well as defining and reporting meaningful financial and operational metrics that lead to insightful, accurate business decision-making. The VP, Finance and Strategy will have oversight of the corporate FP&A team, the managed hotels finance team, and investment team. This team will bring a comprehensive understanding of all key business drivers and sophisticated financial models that enable the team to deliver insightful, value-added analysis across the company. The VP, Finance and Strategy is also responsible for leading the company-wide strategic planning process through the 5 year plan.
Responsibilities
Lead the Finance and Strategy team and partner with the corporate leadership team to provide value-added insight into the business.
Partner with CFO to identify and execute actions that drive profitable growth, gain market share, improve operational efficiencies and increase productivity.
Enable the 5YP process through clear, concise plan and commitments for process calendar, CEO and Board updates, and hands on support to business leads and initiatives.
Prepare a monthly, quarterly and annual reporting package that includes consolidated financial statements, comprehensive Key Performance Indicator (KPI) reporting, operational dashboard reporting, analysis of key business trends, actual versus budget/forecast variances and comprehensive executive level explanations of differences.
Develop and monitor the company’s annual budget and monthly rolling 18-month forecasts, which shall include establishing budget tools, setting timelines and acting as project manager for the company, ensuring all budgets are accurate, comprehensive and completed on time.
Prepare and monitor the company’s long range strategic planning models for the 5 year plan. Ensuring that all initiatives are on track and that each initiative’s KPIs are calculated on a quarterly basis and the comprehensive financial model is updated and integrated into the normal budgeting and forecasting process.
Support external reporting, to the owners, the Board and other external stakeholders including analyses, commentary and presentation materials for Board meetings
Provide financial modeling, financial analysis and valuation support for acquisitions, investment underwriting, long-term contracts and other ad-hoc financial projects.
Requirements
10 or more years of progressive experience in Finance and Strategic Planning
Strong strategic thinking and results orientation with a track record of meeting or exceeding business objectives.
Investment experience preferred
Track record of enabling the business to deliver on revenue growth leveraging data-based insight of owner and customer behavior
Demonstrated executive presence and interpersonal communication skills
Demonstrated ability to positively influence senior leadership
Ability to operate as a key stakeholder and thought leader in driving, defining and executing the company’s financial planning strategy and can contribute to delivering value to business teams
Strong demonstration of ability to successfully manage and lead a team and create an engaging environment.
Aspires to build a ‘best in class’ organization by introducing industry best practices and recruiting/developing the best talent possible. Quality and results are always top of mind. Demonstrates a passion for talent development.
We are an equal opportunity and affirmative action employer and make employment decisions without regard to age, race, religion, national origin, gender, sexual orientation, gender identity, disability, veteran status, genetic information or other protected class. Background checks are also required before employment begins.
Visa Requirements: We participate in E-Verify and all candidates must be in possession of identification providing authorization to work in the United States as defined in the Immigration Reform and Control Act of 1968 (IRCA). This position does not offer sponsorship of Work Visas."
"Vice President, Valuations","Oakbrook Terrace, IL 60181","","Prairie Capital Advisors, Inc. is an employee-owned company that offers investment banking, ESOP advisory and valuation services to support the growth and ownership transition strategies of middle-market organizations. Our core values of Integrity, Respect, Teamwork and Passion are the foundation of our business. As an employee-owned firm, cultural fit is extremely important to us. Many companies talk about their culture – but we believe a truly special environment is formed when you build successful people around you. When you are passionate about what you do and those around you, it shows.
Job Description
We are currently seeking a Vice President in our Oakbrook Terrace office. Engagement types primarily include ESOP valuation, ESOP transaction advisory and valuation/financial opinions. Vice Presidents attend and speak at professional conferences, participate in firm webinars, publish articles, pursue outside speaking opportunities and serve as active members of relevant professional organizations. We operate in an entrepreneurial environment and team members are given as much responsibility as their experience and capabilities permit.
Responsibilities
Execute multiple valuation and ESOP transaction engagements simultaneously across various service lines and industries
Work directly with senior level management, board members, shareholders and trustees throughout all phases of the engagement
Motivate and develop team members, conduct performance reviews and assist with office operations
Review of financial modeling and analysis and industry/economic research to ensure quality control
Assist in the preparation and review of client deliverables including valuation reports, presentations, information memoranda and marketing materials
Communicate and establish relationships both internally with project teams and senior management, as well as externally with clients and business partners
Position Requirements
Bachelor degree in finance/accounting/economics, MBA or other advanced degree and/or credential (CPA, CFA) preferred
7 years of valuation and/or corporate finance experience managing valuation engagements, transactions involving stock ownership and other financial advisory projects
Demonstrated success developing, engaging and managing high-functioning teams, both in professional development and work product
High technical proficiency and competency in financial modeling, valuation theory and transaction structuring; proficient in MS Office applications, specifically Excel, Word and PowerPoint
Ability to thrive in an entrepreneurial and fast-paced environment, prioritizing multiple assignments, tight deadlines and multiple team members
Highly effective communication, analytical and problem-solving capabilities
Strong work ethic and personal integrity with the willingness to work long hours and travel when necessary
All applicants must be authorized to work in the U.S. without sponsorship, now or in the future"
"Vice President, Finance","San Francisco, CA","","Job Requisition ID #
21WD47719
Position Overview
Reporting to the CFO, the primary roles of the Vice President, Go to Market Finance are to provide strategic decision support and manage the finance leaders for the Business Strategy & Marketing (BSM) and Worldwide Field Operations (WWFO) teams. You will be an integral member of the CFO leadership team, with a dotted line relationship to both the Chief Marketing Officer and the Chief Revenue Officer.
The Go to Market (GTM) organizations include Autodesk BSM and WWFO divisions and are made up of more than 3750 employees. Revenues total nearly $4 billion, with expenses of approximately $925 million. The operating groups are dispersed throughout the world.
As leader of GTM Finance you will lead a team of approximately 140 staff located around the world, with concentration in San Francisco and San Rafael, CA, Portland, OR, Farnborough UK, Beijing China, Barcelona, Spain, Tokyo, Japan, Paris, France, Singapore, and India. You will be responsible for a budget of roughly $24 Million. This is a global role, driving strategy throughout the organization.
Responsibilities
Manage and provide strategic leadership to the GTM Finance organization which consists of six direct reports and ~140 global staff. Each direct report supports one or more senior leaders in Autodesk’s GTM organizations
Ensure Autodesk GTM organizations support continuing long-term growth and health through sound strategy and strong execution
Take a leadership role to drive the company’s business model and ensure the appropriate performance management processes and key management information are in place
Lead the billings, revenue, ARR, ACV, subscriptions and operating expense planning of GTM organizations in connection with the strategic and annual planning process, including related requisite modeling and sensitivity analysis
Manage the weekly/bi-weekly forecasting process for all topline metrics, including forecast calls ensuring that they are timely and reliable
Manage operating expenses of GTM organizations. Ensure we operate within approved spending levels, and drive productivity improvements throughout the organization. Support the Chief Marketing Officer and the Chief Revenue Officer in connection with the optimal management of the operating expenses of BSM and WWFO, as well as the GTM teams in each organization, with an emphasis on on-going productivity improvements in all areas of the business
Provide critical decision-making support regarding the allocation and monitoring of investment funds which may become available from time to time to accelerate future growth
Drive ad hoc analysis critical to maximizing the effectiveness of the GTM organizations in the near, medium and long-term
Analyze business results, providing deep insight into on-going trends and performance
Ensure commission plan design drives desired outcomes, supports our expense budget, and ensure the commissions can be properly forecasted and calculated. Ensure forecast for this expense of more than $90 million is timely and accurate
Ensure compliance with sales contracting, discounting, and revenue recognition policies and processes as well as all applicable laws, regulations and company policies
Ensure optimal commercial success for Autodesk, reviewing non-standard deals as member of Corporate Deal Review Board
Support development of Autodesk channel strategy and framework. Ensure programs can be properly implemented, forecasted, calculated and paid
Develop and report on Autodesk long term price realization goals
Manage, train and develop Go to Market finance team. Be an active mentor across the Autodesk organization
Drive global finance initiatives involving broad cross functional teams
Minimum Qualifications
Experienced leader and financial executive with 15 years of broad, results–driven finance experience, ideally in a large public software company
Energetic, forward thinking and creative with the highest ethical standards
Strong accounting and finance skills
Strong record of accomplishments
Focus on process improvement and driving execution
Lead from the front mindset is critical
Strong process orientation
Good communication skills with the ability to influence effectively
MBA and/or CPA certification.
Ability to travel at least 6-7 times per year
At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.
Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers ."
"Vice President of Finance","Renton, WA","","VALLEY MEDICAL CENTER
Job Description
Finance
The position description is a guide to the critical duties and essential functions of the job, not an all-inclusive list of responsibilities, qualifications, physical demands and work environment conditions. Position descriptions are reviewed and revised to meet the changing needs of the organization.
TITLE: Vice President of Finance
JOB OVERVIEW: Responsible for, and management of, all financial/accounting operations of the organization, including financial reporting, financial modeling and analysis, financial forecasting, operating and capital budgeting, financial decision support, payer contracting, reimbursement, physician and ambulatory financial analytics, strategic business development proformas and analytics, service line proforma development, accounts payable and payroll.
ROLE: See job description for administrative partner for generic job description.
AREA OF ASSIGNMENT: Finance
RESPONSIBLE TO: Chief Financial Officer
PREREQUISITES:
A Bachelor's degree in Business Administration, with a major/concentration in Accounting or Finance preferred.
CPA or MBA required. MHA preferred.
At least ten years financially oriented, direct healthcare management experience at the Director or Vice President level
Thorough knowledge and understanding of financial analytics and budgeting, including modeling and proformas.
Thorough understanding of financial statements and accounting standards
Thorough knowledge and understanding of healthcare reimbursement concepts
Understanding and experience with healthcare cost of care analytics, cost accounting, service line, market share, and decision support analysis
Thorough knowledge and understanding of various contemporary healthcare payment models, including advanced payment and other value based models.
Experience interacting with external and internal auditors (financial statement, regulatory, performance, internal)
Background and/or understanding of process improvement preferred
QUALIFICATIONS:
Demonstrated leadership and management skills, and the ability to lead others by example.
Demonstrated ability to coach, motivate, innovate, collaborate and teach others throughout the finance division and organizationally wide about healthcare financial and/or strategic concepts
Provides strong financial oversight and guidance.
Displays proactive leadership to deliver organizational and process enhancements for continuous improvement; willing to reinvent financial processes as needed to improve organizational objectives.
Demonstrated ability to help define and support strategic financial planning processes and decisions; act as primary financial support for business development and strategic planning
Demonstrated ability to partner with Revenue Cycle, Supply Chain, Process Improvement, Perioperative and Patient Care Services, and various ambulatory and clinic network divisions.
Demonstrated ability to utilize process improvement and implement standardized work
Demonstrated ability to design and implement effective systems of internal controls.
Ability to make timely, fact-based, and authoritative decisions.
Ability to work and partner with both clinical and non-clinical vice presidents, directors, managers, or senior administrators on organizational initiatives.
Manages strategic initiatives to achieve financial goals/targets of organization and help measurably enhance business practices.
Experience acting as liaison with third parties, such as regulatory or financial statement auditors.
Experience in building and working with financial models.
Ability to identify best practice approaches within the financial realm and perform financial analyses accordingly.
Strong organizational and prioritization skills; ability to manage and supervise multiple tasks, projects, and timelines.
Demonstrates strong interpersonal skills, initiative, high energy, enthusiasm, creativity and strong independent problem-solving skills.
Able to communicate, facilitate, and present effectively to groups,
Stand in for CFO as needed/necessary at committee or Board meetings or presentations
UNIQUE PHYSICAL/MENTAL DEMANDS, ENVIRONMENT, AND WORKING CONDITIONS: See generic criteria
PERFORMANCE RESPONSIBILITIES
A. Generic Job Functions: See Generic Job Description for administrative Partner
B. Unique Job Functions:
Responsible for the management, development, direction, and oversight of financial reporting, strategic financial planning, operating and capital budgets, financial forecasting, financial decision support, governmental reimbursement, cost accounting/product line analysis, payer contracting, accounts payable, and payroll functions.
Directly supervises 6 Finance Directors and Managers
Responsible for participating and steering committee member for Infor implementation of Finance ERP, including General Ledger, Accounts Payable, Payroll, Budgeting, and Cost Accounting.
Directly oversees operating and capital budgeting functions
Directly oversees specialty financial planning functions (reimbursement, forecasting, costing, physician/provider analytics).
Directly responsible for financial support related to strategic financial planning processes and business development
Directly responsible for overseeing payer contracting division
Reviews all analyses completed by reimbursement, costing, accounting, finance, and other analysts.
Manage strategic initiatives of administrators/organization to achieve financial goals.
Ensure Director of Finance over establishes, develops, and implements accounting practices, principles, and procedures to reflect current GASB and FASB pronouncements.
Responsible for oversight related to physician compensation models and financial/operational proformas
Coordinates the financial reporting processes of the entire organization.
Perform detailed financial forecasts
Maintains, reviews and modifies a system of internal accounting controls over key internal control systems and organizational assets.
Develops policies and procedures for an effective system of cost accounting/product line analyses and reporting throughout the organization.
Maintains appropriate, accurate costing models for cost of care analytics, including both hospital and ambulatory
Provides useful financial information to internal and external customers.
Works closely with other managers, directors and administrators to provide general financial guidance or consulting.
Participate in cross-departmental committees, such as Finance, Facilities, and Audit committee, Strategic Business Development, and Healthcare Intelligence
Evaluates, counsels, and develops staff and participates in decisions regarding hiring, evaluations, salary adjustments, promotions, and terminations.
Oversees preparation of third party cost reports
Oversees detailed costing analysis/product line analysis.
Willing to continuously evaluate and reinvent the financial systems and processes, as necessary, to improve organizational performance and/or strengthen necessary internal controls.
Primary liaison with third party auditors-regulatory, financial statement, etc.
Development and direction of analyses of utilization of cost data/information.
Understanding of Medicare and Medicaid reimbursement regulations.
Assists the Chief Financial Officer with special projects and other administrator-level requests.
Maintains continuing education for awareness of impacts of changing accounting standards and regulatory agency requirements as to their effect on the financial viability and/or legal compliance of the organization.
Demonstrates conformance to VMC's policies and procedures.
Revised 1/02, 10/04, 5/09, 5/10, 1/18, 1/20
Reviewed 10/10, 1/2013, 1/2018, 1/2020
Grade: 37
FLSA: E
Cost Center: 8508
Job Qualifications:
PREREQUISITES:
A Bachelor's degree in Business Administration, with a major/concentration in Accounting or Finance preferred.
CPA or MBA required. MHA preferred.
At least ten years financially oriented, direct healthcare management experience at the Director or Vice President level
Thorough knowledge and understanding of financial analytics and budgeting, including modeling and proformas.
Thorough understanding of financial statements and accounting standards
Thorough knowledge and understanding of healthcare reimbursement concepts
Understanding and experience with healthcare cost of care analytics, cost accounting, service line, market share, and decision support analysis
Thorough knowledge and understanding of various contemporary healthcare payment models, including advanced payment and other value based models.
Experience interacting with external and internal auditors (financial statement, regulatory, performance, internal)
Background and/or understanding of process improvement preferred
QUALIFICATIONS:
Demonstrated leadership and management skills, and the ability to lead others by example.
Demonstrated ability to coach, motivate, innovate, collaborate and teach others throughout the finance division and organizationally wide about healthcare financial and/or strategic concepts
Provides strong financial oversight and guidance.
Displays proactive leadership to deliver organizational and process enhancements for continuous improvement; willing to reinvent financial processes as needed to improve organizational objectives.
Demonstrated ability to help define and support strategic financial planning processes and decisions; act as primary financial support for business development and strategic planning
Demonstrated ability to partner with Revenue Cycle, Supply Chain, Process Improvement, Perioperative and Patient Care Services, and various ambulatory and clinic network divisions.
Demonstrated ability to utilize process improvement and implement standardized work
Demonstrated ability to design and implement effective systems of internal controls.
Ability to make timely, fact-based, and authoritative decisions.
Ability to work and partner with both clinical and non-clinical vice presidents, directors, managers, or senior administrators on organizational initiatives.
Manages strategic initiatives to achieve financial goals/targets of organization and help measurably enhance business practices.
Experience acting as liaison with third parties, such as regulatory or financial statement auditors.
Experience in building and working with financial models.
Ability to identify best practice approaches within the financial realm and perform financial analyses accordingly.
Strong organizational and prioritization skills; ability to manage and supervise multiple tasks, projects, and timelines.
Demonstrates strong interpersonal skills, initiative, high energy, enthusiasm, creativity and strong independent problem-solving skills.
Able to communicate, facilitate, and present effectively to groups,
Stand in for CFO as needed/necessary at committee or Board meetings or presentations"
"CCB Technology- Finance & Business Management- Vice Presiden...","Wilmington, DE","","Provide direct Finance and Business Management support to Servicing CTO, the Servicing Product Team, and the CTO-1 Management Team
Partner with F&BM Central teams to deliver timely and granular financial and headcount reporting, including Agile Team alignment and forecasting
Help Product operate within new F&BM framework and support use of new processes / tools
Aggregate, speak to, and monitor from front to back all spend requests related to respective Technology Tower and Product to ensure documented approvals as necessary
Develop collaborative working relationships across CTO, CTO-1, Finance, and CCB Shared Services while providing business value and transparency
Provide resource management communications, planning/forecasting guidance and coordination for core business requirements
Partner with other F&BM Leads to drive consistent business management practices, development of KPl's, setting logical key performance measures, and reporting driving towards continuous improvement in accuracy and control
Support the Product Business Case generation process through aggregation and inclusion of Technology spend
Interface with Operations F&BM counterparts to proactively monitor and problem solve for capacity and financial gaps
Assist in the development of senior management presentations
Chase is a leading financial services firm, helping nearly half of America's households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
Equal Opportunity Employer/Disability/Veterans"
"Investment Banking Healthcare Vice President – San Francisco","San Francisco, CA","","Investment Banking Healthcare Vice President – San Francisco
Job Number:
3174707
POSTING DATE: May 7, 2021
PRIMARY LOCATION: Americas-United States of America-California-San Francisco
EDUCATION LEVEL: Bachelor's Degree
JOB: Investment Banking
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Vice President
DESCRIPTION
Morgan Stanley’s Banking Group provides industry, regional and product expertise to corporations, institutions and government clients in order to develop and execute innovative and customized solutions to the most challenging strategic and financing issues faced in the global marketplace.
The Banking Group is comprised of a number of industry groups, which work closely with product team members in Mergers & Acquisitions, Global Capital Markets, Real Estate, and other industry groups throughout the Firm to provide relevant market insight, product creativity, and execution expertise to clients. These solutions include initial public offerings; public and private equity and equity-linked financings; mergers, acquisitions and restructurings; defense advisory assignments; strategic partnerships; public and private debt placements; share repurchases; and hedging, swaps and derivative transactions.
Our Healthcare Investment Banking Group is looking for a Vice President to join our West Coast team based in San Francisco. The team covers a wide variety of innovative clients in various healthcare and life sciences sub sectors, including biotechnology, medical technology, life sciences tools, diagnostics, specialty pharma and technology enabled healthcare. The successful candidate will have the opportunity to work with these regional and international clients on a wide range of complex transactions including acquisitions, mergers, divestitures, joint ventures, corporate restructurings, shareholder relations, recapitalizations, and defenses against unsolicited takeover attempts, strategic advisory assignments and executions of public, including Initial Public Offerings, and private capital markets transactions.
The successful candidate will work closely with professionals throughout the firm to deliver high quality advice to our clients. You will play an important role on a team that includes senior professionals who will encourage you to go beyond the numbers and think creatively.
ORGANIZATION
6+ years of relevant experience within the investment banking industry as an analyst and/or associate with a proven track record working on complex executed deals across M&A and various industry sectors
Experience in the healthcare sector is preferred, but not required
Comfortable reading and interpreting financial statements
Extraordinarily high level of motivation and commitment to working hard
Strong written and verbal communication, client and interpersonal skills
Commercial instinct and ability to perform under pressure and tight deadlines
Bachelor’s degree required; an MBA, CA and/or CFA designation would be an asset
Series licensing or must obtain"
"VP of Finance - hedge fund","Austin, TX","$175,000 - $200,000 a year",""
"Vice President - Investment Banking - Consumer","Charlotte, NC 28209 (Barclay Downs area)","",""
"Corporate Real Estate Asset Manager - Vice President-Califor...","San Francisco, CA","",""
"Reg VP-Finance","Oklahoma City, OK 73102","",""
"Vice President, North America Controller","Foster City, CA","",""
"Vice President, Managed Markets Finance","East Hanover, NJ 07936","",""
"IBD, Financing Group, Structured Finance, New York - Vice Pr...","New York, NY 10282 (Battery Park area)","",""
"Vice President, Head of Global Financial Crimes","Newark, NJ 07102 (Central Business District area)","",""
"VP of Financial Planning & Analysis","Oregon","",""
"Vice President/Global Corporate Controller","Needham, MA","",""
"VP of Finance - manufacturer","Pittsburgh, PA","$175,000 - $180,000 a year",""
"Vice President of Finance and Operations","San Francisco, CA","",""
"Corporate Vice President, Virtual Advanced Planning Consulta...","Addison, TX","",""
"Vice President, Finance & Controller","New York, NY 10004 (Financial District area)","",""
"Investment Banking Healthcare Vice President – San Francisco","San Francisco, CA","",""